"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause
2019,Foodservice,Bars And Taverns,Prepared Foods,Excess,Plate Waste,19455.90475,249581616.2
2019,Foodservice,Bars And Taverns,Produce,Date Label Concerns,Date Label Concerns,230.1182436,1087688.09
2019,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Cooking Issues,22.33477997,105568.658
2019,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Equipment Issues,0.453992624,2145.86363
2019,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Handling Errors,18.46504693,87277.78945
2019,Foodservice,Bars And Taverns,Produce,Other,Other,11.03860782,52175.62095
2019,Foodservice,Bars And Taverns,Produce,Spoiled,Spoiled,122.4464887,578761.5325
2019,Foodservice,Bars And Taverns,Produce,Trimmings & Byproducts,Trimmings & Byproducts,516.1370076,2439598.299
2019,Foodservice,Bars And Taverns,Ready-to-drink Beverages,Date Label Concerns,Date Label Concerns,118.2840733,559087.2576
2019,Foodservice,Bars And Taverns,Ready-to-drink Beverages,Mistakes & Malfunctions,Handling Errors,16.65167511,78706.61795
2019,Foodservice,Bars And Taverns,Ready-to-drink Beverages,Other,Other,83.99495811,397014.6569
2019,Foodservice,Bars And Taverns,Ready-to-drink Beverages,Spoiled,Spoiled,175.6782823,830369.5188
2019,Foodservice,Bars And Taverns,Ready-to-drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,1.533490253,7248.269663
2019,Foodservice,Business & Industry,Breads & Bakery,Date Label Concerns,Date Label Concerns,1521.827992,7021716.4
2019,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,262.6338315,1211792.852
2019,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,42.35263353,195415.1081
2019,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,91.59157634,422603.6564
2019,Foodservice,Business & Industry,Breads & Bakery,Other,Other,125.3403296,578320.4494
2019,Foodservice,Business & Industry,Breads & Bakery,Spoiled,Spoiled,350.8263228,1618713.125
2019,Foodservice,Business & Industry,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,1454.016847,6708835.686
2019,Foodservice,Business & Industry,Dairy & Eggs,Date Label Concerns,Date Label Concerns,2558.549089,11805148.94
2019,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,221.3882815,1021485.829
2019,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,583.6227211,2692836.02
2019,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,160.3164301,739700.2243
2019,Foodservice,Business & Industry,Dairy & Eggs,Other,Other,9.47292971,43708.11042
2019,Foodservice,Business & Industry,Dairy & Eggs,Spoiled,Spoiled,643.570538,2969435.328
2019,Foodservice,Business & Industry,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,1573.322693,7259313.02
2019,Foodservice,Business & Industry,Dry Goods,Date Label Concerns,Date Label Concerns,6502.149294,30000925.59
2019,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Cooking Issues,1328.791931,6131047.759
2019,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Equipment Issues,399.4961898,1843275.957
2019,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Handling Errors,728.5791197,3361665.038
2019,Foodservice,Business & Industry,Dry Goods,Other,Other,115.3276831,532122.0849
2019,Foodservice,Business & Industry,Dry Goods,Spoiled,Spoiled,723.7139611,3339217.19
2019,Foodservice,Business & Industry,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,2846.775464,13135025.82
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,2059.100952,9500694.562
2019,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,241.3046832,1113380.133
