"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
year,sector,sub_sector,sub_sector_category,food_type,tons_supply,tons_surplus,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2019,Foodservice,Business & Industry,Business & Industry,Ready-to-drink Beverages,203713.5744,5225.235577,24109243.98,4257.631365,5088.641171,136.5944056,136.5944056,0,21.44302214,1.373984751,808.1928019,0,525.7281858,0,3731.90318,0,0,16773.59809,582.9039987,17356.50209,83623886.29,8481068.62
2019,Foodservice,Caterers,Caterers,Breads & Bakery,61915.17821,1136.107094,5241999.658,886.7968224,1105.121809,30.98528442,30.98528442,0,5.608522516,0.31094028,212.4055245,0,123.4251894,0,763.3716331,0,0,2512.666413,236.4606269,2749.12704,21417758.91,1841869.682
2019,Foodservice,Caterers,Caterers,Dairy & Eggs,92508.51448,1697.476815,7832160.307,1324.978124,1651.181178,46.29563728,46.29563728,0,8.379788307,0.464581129,317.358685,0,184.411662,0,1140.566462,0,0,7483.808987,108.6580256,7592.467012,415201520.5,2751968.63
2019,Foodservice,Caterers,Caterers,Dry Goods,203427.0275,3732.766272,17222988.6,2913.638413,3630.961763,101.8045088,101.8045088,0,18.42722733,1.021617941,697.874507,0,405.5228478,0,2508.115565,0,0,10137.79409,467.9077928,10605.70188,351326531.8,6051602.939
2019,Foodservice,Caterers,Caterers,Fresh Meat & Seafood,158193.1272,2902.750814,13393296.16,2265.763688,2823.583489,79.16732505,79.16732505,0,14.32976116,0.794451646,542.6955897,0,315.3510535,0,1950.412634,0,0,33035.31858,289.7866792,33325.10526,3499093513,4705972.482
2019,Foodservice,Caterers,Caterers,Frozen,9346.867193,171.5095139,791345.1279,133.8730238,166.8318994,4.677614549,4.677614549,0,0.846676318,0.046940307,32.06525905,0,18.63256937,0,115.2404544,0,0,1308.31692,22.47028498,1330.787205,28197424.97,278053.1657
2019,Foodservice,Caterers,Caterers,Prepared Foods,0,283665.2719,3903777004,229832.3454,272646.3917,451909.4987,11018.88021,0,4849.194506,1803.965647,36160.88609,0,32218.66552,0,197613.6799,0,0,1269044.898,32461.99529,1301506.894,65421611857,454410652.9
2019,Foodservice,Caterers,Caterers,Produce,128646.5419,2360.588356,10891757.85,1842.574758,2296.20754,64.38081589,64.38081589,0,11.65331422,0.646067618,441.3334014,0,256.451233,0,1586.123526,0,0,2356.053718,67.22128523,2423.275004,93341441.76,3827012.568
2019,Foodservice,Caterers,Caterers,Ready-to-drink Beverages,84062.32705,1542.494245,7117070.52,1204.005329,1500.425479,42.06876549,42.06876549,0,7.614699136,0.422164068,288.383288,0,167.5745582,0,1036.430771,0,0,4945.826028,145.348699,5091.174727,24657154.13,2500709.133
2019,Foodservice,Colleges & Universities,Colleges/universities,Breads & Bakery,152712.0242,3918.468965,18079821.08,3108.035362,3813.233205,105.2357604,105.2357604,0,18.14206138,1.056947591,685.998836,0,369.9087325,0,2738.126629,0,0,8669.979111,909.5304422,9579.509554,73902178.71,6355388.676
